"","scientific_name","order_name","family_name","genus_name","category","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","Mass.g","functional_group","accepted_spp_name","combined_fn_group","combined_body_mass","phyl_eltonian_ftn_gp"
"5076","Thomasomys cinnameus","RODENTIA","CRICETIDAE","Thomasomys","LC",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,"Herbivore_terrestrial","Thomasomys cinnameus","Herbivore_terrestrial",17,"FruitNectSeed"
"5077","Eptesicus japonensis","CHIROPTERA","VESPERTILIONIDAE","Eptesicus","VU",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10.1,"Invertivore","Eptesicus japonensis","Invertivore",10.1,"Invertivore"
"5078","Natalus jamaicensis","CHIROPTERA","NATALIDAE","Natalus","CR",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6.7,"Invertivore","Natalus jamaicensis","Invertivore",6.7,"Invertivore"
"5079","Eumops patagonicus","CHIROPTERA","MOLOSSIDAE","Eumops","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"Invertivore","Eumops patagonicus","Invertivore",10,"Invertivore"
"5080","Ctenomys tulduco","RODENTIA","CTENOMYIDAE","Ctenomys","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.4,"Herbivore_terrestrial","Ctenomys tulduco","Herbivore_terrestrial",213.4,"Herbivore"
"5081","Miniopterus shortridgei","CHIROPTERA","MINIOPTERIDAE","Miniopterus","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,"Invertivore","Miniopterus shortridgei","Invertivore",5.9,"Invertivore"
"5082","Nyctalus plancyi","CHIROPTERA","VESPERTILIONIDAE","Nyctalus","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.1,"Invertivore","Nyctalus plancyi","Invertivore",24.1,"Invertivore"
"5083","Myoictis wavicus","DASYUROMORPHIA","DASYURIDAE","Myoictis","DD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,"Vertivore","Myoictis wavicus","Vertivore",122,"Vertivore"
"5084","Marmosops neblina","DIDELPHIMORPHIA","DIDELPHIDAE","Marmosops","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,"Herbivore_terrestrial","Marmosops neblina","Herbivore_terrestrial",44,"Omnivore"
"5085","Muntiacus montanus","ARTIODACTYLA","CERVIDAE","Muntiacus","DD",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,17619.8,"Herbivore_terrestrial","Muntiacus montanus","Herbivore_terrestrial",17619.8,"Omnivore"
"5086","Nephelomys caracolus","RODENTIA","CRICETIDAE","Nephelomys","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,"Herbivore_terrestrial","Nephelomys caracolus","Herbivore_terrestrial",93,"Omnivore"
"5087","Pithecheirops otion","RODENTIA","MURIDAE","Pithecheirops","DD",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,107.2,"Herbivore_terrestrial","Pithecheirops otion","Herbivore_terrestrial",107.2,"Herbivore"
"5088","Paremballonura tiavato","CHIROPTERA","EMBALLONURIDAE","Paremballonura","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,"Invertivore","Paremballonura tiavato","Invertivore",3.3,"Invertivore"
"5089","Paranyctimene tenax","CHIROPTERA","PTEROPODIDAE","Paranyctimene","LC",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,31.5,"Herbivore_terrestrial","Paranyctimene tenax","Herbivore_terrestrial",31.5,"FruitNectSeed"
"5090","Chaetodipus rudinoris","RODENTIA","HETEROMYIDAE","Chaetodipus","LC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"Herbivore_terrestrial","Chaetodipus rudinoris","Herbivore_terrestrial",26,"FruitNectSeed"
