"","accpt_name","other_name"
"551","Sturnira angeli","Sturnira thomasi"
"552","Funambulus obscurus","Funambulus sublineatus"
"553","Paragalago granti","Galago granti"
"554","Paragalago granti","Galagoides granti"
"555","Paragalago granti","Galagoides nyasae"
"556","Erythrocebus baumstarki","Erythrocebus patas"
"557","Cercopithecus wolfi ssp. wolfi","Cercopithecus pogonias"
"558","Cercopithecus denti","Cercopithecus pogonias"
"559","Cercopithecus pogonias ssp. grayi","Cercopithecus pogonias"
"560","Cercopithecus wolfi ssp. pyrogaster","Cercopithecus pogonias"
"561","Cercopithecus wolfi ssp. elegans","Cercopithecus pogonias"
"562","Cercopithecus wolfi","Cercopithecus pogonias"
"563","Cercopithecus wolfi ssp. wolfi","Cercopithecus wolfi"
"564","Cercopithecus wolfi","Cercopithecus pogonias"
"565","Piliocolobus semlikiensis","Colobus badius"
"566","Piliocolobus semlikiensis","Colobus ellioti"
"567","Piliocolobus semlikiensis","Colobus multicolor"
"568","Piliocolobus semlikiensis","Colobus variabilis"
"569","Piliocolobus semlikiensis","Piliocolobus anzeliusi"
"570","Piliocolobus semlikiensis","Piliocolobus ellioti"
"571","Piliocolobus semlikiensis","Procolobus badius"
"572","Neoromicia isabella","Neoromicia cf. rendalli"
"573","Otomops harrisoni","Otomops martiensseni"
"574","Otomops harrisoni","Otomops martiensseni"
"575","Cryptotis niausa","Cryptotis niausia"
"576","Spalax antiquus","Spalax graecus"
"577","Sicista loriger","Sicista nordmanni"
"578","Sicista loriger","Sicista subtilis"
"579","Sicista loriger","Sminthus loriger"
"580","Crocidura absconditus","Crocidura abscondita"
"581","Tupaia hypochrysa","Tupaia ferruginea"
"582","Tupaia hypochrysa","Tupaia glis"
"583","Tupaia belangeri","Tupaia ferruginea"
"584","Tupaia hypochrysa","Tupaia ferruginea"
"585","Tupaia ferruginea","Tupaia glis"
"586","Tupaia ferruginea","Tupaia tephrura"
"587","Cryptomys mahali","Cryptomys hottentotus"
"588","Cryptomys natalensis","Cryptomys hottentotus"
"589","Cryptomys pretoriae","Cryptomys hottentotus"
"590","Otomys karoensis","Otomys saundersiae"
"591","Cricetomys ansorgei","Cricetomys adventor"
"592","Cricetomys ansorgei","Cricetomys cunctator"
"593","Cricetomys ansorgei","Cricetomys elongis"
"594","Cricetomys ansorgei","Cricetomys enguvi"
"595","Cricetomys ansorgei","Cricetomys gambianus"
"596","Cricetomys ansorgei","Cricetomys haagneri"
"597","Cricetomys ansorgei","Cricetomys osgoodi"
"598","Cricetomys ansorgei","Cricetomys selindensis"
"599","Cricetomys ansorgei","Cricetomys vaughan-jonesi"
"600","Hylopetes sagitta","Hylopetes lepidus"
"601","Hylopetes sagitta","Petinomys sagitta"
"602","Prosciurillus topapuensis","Callosciurus leucomus"
"603","Prosciurillus alstoni","Sciurus elbertae"
"604","Prosciurillus alstoni","Sciurus mowewensis"
"605","Prosciurillus alstoni","Sciurus sarasinorum"
"606","Prosciurillus alstoni","Sciurus tonkeanus"
"607","Crocidura nimbasilvanus","Crocidura goliath"
"608","Crocidura nimbasilvanus","Crocidura guineensis"
"609","Akodon caenosus","Akodon aliquantulus"
"610","Graomys chacoensis","Graomys centralis"
"611","Nectomys grandis","Nectomys magdalenae"
"612","Urocitellus nancyae","Spermophilus townsendii nancyae"
"613","Gazella arabica","Antilope arabica"
"614","Gazella arabica","Gazella gazella"
"615","Canis lupaster","Canis anthus"
"616","Plecturocebus miltoni","Callicebus miltoni"
"617","Plecturocebus cupreus","Callicebus cupreus"
"618","Plecturocebus toppini","Callicebus acreanus"
"619","Plecturocebus toppini","Callicebus cupreus"
"620","Plecturocebus toppini","Callicebus moloch"
"621","Felis lybica","Felis silvestris"
"622","Kerivoula crypta","Kerivoula hardwickii"
"623","Kerivoula crypta","Kerivoula malpasi"
"624","Cacajao ayresi","Cacajao melanocephalus"
"625","Cacajao hosomi","Cacajao melanocephalus"
"626","Cacajao melanocephalus","Simia melanocephala"
"627","Lagothrix lagothricha ssp. lagothricha","Lagothrix lagothricha"
"628","Lagothrix lagothricha","Lagothrix cana"
"629","Lagothrix lagothricha","Lagothrix lagotricha"
"630","Lagothrix lagothricha","Lagothrix lugens"
