,taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
996,7938,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus pumilus,"(Gray, 1841)",NA,NA,NA,LC,Eastern Forest Bat
997,7939,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus regulus,"(Thomas, 1906)",NA,NA,NA,LC,Southern Forest Bat
998,7942,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus tatei,"Ellerman &amp; Morrison-Scott, 1951",NA,NA,NA,DD,Sombre Bat
999,7944,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus troughtoni,"(Kitchener, Jones &amp; Caputi, 1987)",NA,NA,NA,LC,Eastern Cave Bat
1000,7945,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Vespadelus,Vespadelus vulturnus,"(Thomas, 1914)",NA,NA,NA,LC,Little Forest Bat
1001,7949,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus africanus,"Heuglin &amp; Fitzinger, 1866",NA,NA,NA,CR,African Wild Ass
1002,7950,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus grevyi,"Oustalet, 1882",NA,NA,NA,EN,Grevy's Zebra
1003,7951,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus hemionus,"Pallas, 1775",NA,NA,NA,NT,Asiatic Wild Ass
1004,7953,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus kiang,"Moorcroft, 1841",NA,NA,NA,LC,Kiang
1005,7960,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus zebra,"Linnaeus, 1758",NA,NA,NA,VU,Mountain Zebra
1006,7994,ANIMALIA,CHORDATA,MAMMALIA,AFROSORICIDA,CHRYSOCHLORIDAE,Eremitalpa,Eremitalpa granti,"(Broom, 1907)",NA,NA,NA,LC,Grant's Golden Mole
1007,7995,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Eremodipus,Eremodipus lichtensteini,"(Vinogradov, 1927)",NA,NA,NA,LC,Lichtenstein's Jerboa
1008,8004,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Erethizon,Erethizon dorsatum,"(Linnaeus, 1758)",NA,NA,NA,LC,North American Porcupine
1009,8010,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Erignathus,Erignathus barbatus,"(Erxleben, 1777)",NA,NA,NA,LC,Bearded Seal
1010,8032,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Eropeplus,Eropeplus canus,"Miller &amp; Hollister, 1921",NA,NA,NA,VU,Sulawesi Soft-furred Rat
1011,8033,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PHYLLOSTOMIDAE,Erophylla,Erophylla sezekorni,"(Gundlach, 1860)",NA,NA,NA,LC,Buffy Flower Bat
1012,8097,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,ESCHRICHTIIDAE,Eschrichtius,Eschrichtius robustus,"(Lilljeborg, 1861)",NA,NA,NA,LC,Gray Whale
1013,8099,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,ESCHRICHTIIDAE,Eschrichtius,Eschrichtius robustus,"(Lilljeborg, 1861)",NA,NA,western subpopulation,EN,Western Gray Whale
1014,8153,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BALAENIDAE,Eubalaena,Eubalaena australis,"(Desmoulins, 1822)",NA,NA,NA,LC,Southern Right Whale
1015,8162,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,DIPODIDAE,Euchoreutes,Euchoreutes naso,"Sclater, 1891",NA,NA,NA,LC,Long-eared Jerboa
1016,8166,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Euderma,Euderma maculatum,"(J.A. Allen, 1891)",NA,NA,NA,LC,Spotted Bat
1017,8168,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eudiscopus,Eudiscopus denticulus,"(Osgood, 1932)",NA,NA,NA,LC,Disk-footed Bat
1018,8199,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur coronatus,"(Gray, 1842)",NA,NA,NA,EN,Crowned Lemur
1019,8202,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur mongoz,"(Linnaeus, 1766)",NA,NA,NA,CR,Mongoose Lemur
1020,8203,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur rubriventer,"(I. Geoffroy, 1850)",NA,NA,NA,VU,Red-bellied Lemur
1021,8204,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur albifrons,"(É. Geoffroy Saint-Hilaire, 1796)",NA,NA,NA,VU,White-fronted Lemur
1022,8205,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur cinereiceps,"(A. Grandidier &amp; Milne-Edwards, 1890)",NA,NA,NA,CR,White-collared Lemur
1023,8206,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur collaris,"(É. Geoffroy, 1812)",NA,NA,NA,EN,Collared Brown Lemur
1024,8207,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur fulvus,"(É. Geoffroy, 1796)",NA,NA,NA,VU,Brown Lemur
1025,8209,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur rufus,"(Audebert, 1799)",NA,NA,NA,VU,Red Brown Lemur
1026,8210,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur sanfordi,"(Archbold, 1932)",NA,NA,NA,EN,Sanford's Brown Lemur
1027,8211,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur flavifrons,"(Gray, 1867)",NA,NA,NA,CR,Blue-eyed Black Lemur
1028,8212,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur macaco,"(Linnaeus, 1766)",NA,NA,NA,EN,Black Lemur
1029,8239,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Eumetopias,Eumetopias jubatus,"(Schreber, 1776)",NA,NA,NA,NT,Steller Sea Lion
1030,8241,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops auripendulus,"(Shaw, 1800)",NA,NA,NA,LC,Shaw’s Mastiff Bat
1031,8243,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops dabbenei,"Thomas, 1914",NA,NA,NA,LC,Dabbene’s Mastiff Bat
1032,8245,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops hansae,"Sanborn, 1932",NA,NA,NA,LC,Sanborn's Bonneted Bat
1033,8246,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops maurus,"(Thomas, 1901)",NA,NA,NA,DD,Guianan Bonneted Bat
1034,8247,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops perotis,"(Schinz, 1821)",NA,NA,NA,LC,Western Mastiff Bat
1035,8248,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops underwoodi,"Goodwin, 1940",NA,NA,NA,LC,Underwood's Bonneted Bat
1036,8256,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Euneomys,Euneomys chinchilloides,"(Waterhouse, 1839)",NA,NA,NA,DD,Patagonian Chincilla Mouse
