"","taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
"8103",22722942,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Tangara","Tangara viridicollis","(Taczanowski, 1884)",NA,NA,NA,"LC","Silver-backed Tanager"
"8104",22722946,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Tangara","Tangara argyrofenges","(Sclater & Salvin, 1876)",NA,NA,NA,"VU","Straw-backed Tanager"
"8105",22722953,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Tangara","Tangara velia","(Linnaeus, 1758)",NA,NA,NA,"LC","Opal-rumped Tanager"
"8106",22722958,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Tangara","Tangara callophrys","(Cabanis, 1849)",NA,NA,NA,"LC","Opal-crowned Tanager"
"8107",22722961,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Iridophanes","Iridophanes pulcherrimus","(Sclater, 1853)",NA,NA,NA,"LC","Golden-collared Honeycreeper"
"8108",22722969,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis hartlaubi","(Sclater, 1855)",NA,NA,NA,"VU","Turquoise Dacnis"
"8109",22722976,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis albiventris","(Sclater, 1852)",NA,NA,NA,"LC","White-bellied Dacnis"
"8110",22722982,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis flaviventer","d'Orbigny & Lafresnaye, 1837",NA,NA,NA,"LC","Yellow-bellied Dacnis"
"8111",22722985,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis nigripes","Pelzeln, 1856",NA,NA,NA,"NT","Black-legged Dacnis"
"8112",22722988,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis venusta","Lawrence, 1862",NA,NA,NA,"LC","Scarlet-thighed Dacnis"
"8113",22722991,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis cayana","(Linnaeus, 1766)",NA,NA,NA,"LC","Blue Dacnis"
"8114",22722994,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis viguieri","Salvin & Godman, 1883",NA,NA,NA,"LC","Viridian Dacnis"
"8115",22722997,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Dacnis","Dacnis berlepschi","Hartert, 1900",NA,NA,NA,"VU","Scarlet-breasted Dacnis"
"8116",22723000,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Chlorophanes","Chlorophanes spiza","(Linnaeus, 1758)",NA,NA,NA,"LC","Green Honeycreeper"
"8117",22723003,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Cyanerpes","Cyanerpes nitidus","(Hartlaub, 1847)",NA,NA,NA,"LC","Short-billed Honeycreeper"
"8118",22723006,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Cyanerpes","Cyanerpes lucidus","(Sclater & Salvin, 1859)",NA,NA,NA,"LC","Shining Honeycreeper"
"8119",22723009,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Cyanerpes","Cyanerpes caeruleus","(Linnaeus, 1758)",NA,NA,NA,"LC","Purple Honeycreeper"
"8120",22723012,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Cyanerpes","Cyanerpes cyaneus","(Linnaeus, 1766)",NA,NA,NA,"LC","Red-legged Honeycreeper"
"8121",22723018,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Tersina","Tersina viridis","(Illiger, 1811)",NA,NA,NA,"LC","Swallow Tanager"
"8122",22723021,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Catamblyrhynchus","Catamblyrhynchus diadema","Lafresnaye, 1842",NA,NA,NA,"LC","Plushcap"
"8123",22723024,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","PASSERELLIDAE","Oreothraupis","Oreothraupis arremonops","(Sclater, 1855)",NA,NA,NA,"LC","Tanager Finch"
"8124",22723028,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Urothraupis","Urothraupis stolzmanni","Taczanowski & Berlepsch, 1885",NA,NA,NA,"LC","Stolzmann's Tanager"
"8125",22723033,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Nephelornis","Nephelornis oneilli","Lowery & Tallman, 1976",NA,NA,NA,"LC","Pardusco"
"8126",22723036,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Charitospiza","Charitospiza eucosma","Oberholser, 1905",NA,NA,NA,"NT","Coalcrest"
"8127",22723039,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Coryphaspiza","Coryphaspiza melanotis","(Temminck, 1822)",NA,NA,NA,"VU","Black-masked Finch"
"8128",22723042,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Saltator","Saltator multicolor","(Burmeister, 1860)",NA,NA,NA,"LC","Many-colored Chaco Finch"
"8129",22723047,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Coryphospingus","Coryphospingus pileatus","(Wied, 1821)",NA,NA,NA,"LC","Pileated Finch"
"8130",22723051,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Coryphospingus","Coryphospingus cucullatus","(Müller, 1776)",NA,NA,NA,"LC","Red-crested Finch"
"8131",22723055,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Rhodospingus","Rhodospingus cruentus","(Lesson, 1844)",NA,NA,NA,"LC","Crimson-breasted Finch"
"8132",22723059,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Phrygilus","Phrygilus atriceps","(d'Orbigny &amp; Lafresnaye, 1837)",NA,NA,NA,"LC","Black-hooded Sierra-finch"
"8133",22723064,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Phrygilus","Phrygilus punensis","Ridgway, 1887",NA,NA,NA,"LC","Peruvian Sierra-finch"
"8134",22723069,"ANIMALIA","CHORDATA","AVES","PASSERIFORMES","THRAUPIDAE","Phrygilus","Phrygilus gayi","(Gervais, 1834)",NA,NA,NA,"LC","Grey-hooded Sierra-finch"
