"","IUCN_Species","Avonet_Species","Aquaculture","Climate_Change","Conflict","Crops","Dams_Water","Fire","Fishing","Geo_Event","Hunting","Inv_Disease","Livestock","Logging","Other_Develop","Plantations","Pollution","Rec_Work","category","Mass","Trophic_Niche","Genus","Genus_Avg_Mass","Genus_Trophic_data","Genus_Trophic","Body_Mass","Functional_Group"
"8825","Zosterops nehrkorni","Zosterops nehrkorni",0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,"CR",10,"Omnivore","Zosterops",12.0070707070707,99,"Omnivore",10,"Omnivore"
"8826","Ninox ios","Ninox ios",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",86,"Invertivore","Ninox",236.705405405405,37,"Invertivore",86,"Invertivore"
"8827","Gymnocrex talaudensis","Gymnocrex talaudensis",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,"EN",288,"Omnivore","Gymnocrex",288,3,"Invertivore",288,"Omnivore"
"8828","Esacus magnirostris","Esacus magnirostris",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,"NT",1015.9,"Invertivore","Esacus",902.95,2,"Invertivore",1015.9,"Invertivore"
"8829","Fregetta maoriana","Fregetta maoriana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR",34.5,"Aquatic predator","Fregetta",45.7,3,"Aquatic predator",34.5,"Aquatic predator"
"8830","Phylloscopus sindianus","Phylloscopus sindianus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",7.5,"Invertivore","Phylloscopus",8.0253164556962,79,"Invertivore",7.5,"Invertivore"
"8831","Loxia leucoptera","Loxia leucoptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",28.7,"Omnivore","Loxia",38.38,5,"Granivore",28.7,"Omnivore"
"8832","Urile pelagicus","Urile pelagicus",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"LC",1844,"Aquatic predator","Urile",2061.96666666667,3,"Aquatic predator",1844,"Aquatic predator"
"8833","Colinus virginianus","Colinus virginianus",0,0,0,2,0,2,0,0,2,0,2,0,0,2,0,0,"NT",171.9,"Omnivore","Colinus",141.225,4,"Omnivore",171.9,"Omnivore"
"8834","Zentrygon lawrencii","Zentrygon lawrencii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LC",220,"Omnivore","Zentrygon",268.0125,8,"Omnivore",220,"Omnivore"
